time,open,high,low,close,px_volume,px_vwap,px_vwap_anchor
1782191700,4129.8,4129.98,4126.25,4127.94,2325,4162.109551524564,0
1782192000,4127.96,4130.84,4126.65,4127.8,2312,4161.723835850541,0
1782192300,4127.81,4128.5,4123.67,4125.21,2371,4161.306738882795,0
1782192600,4125.22,4131.33,4117.37,4131.3,3779,4160.677470408487,0
1782192900,4131.25,4133.64,4125.08,4125.24,3304,4160.16637447101,0
1782193200,4125.42,4128.96,4121.18,4127.77,3214,4159.654094308109,0
1782193500,4127.78,4127.84,4117.57,4119.03,3133,4159.104661487762,0
1782193800,4119.04,4122.52,4117.49,4120.68,3179,4158.545102366387,0
1782194100,4120.68,4122.01,4116.92,4121.27,3145,4158.004863081579,0
1782194400,4121.24,4126.96,4119.82,4123.04,3471,4157.474896273403,0
1782194700,4123,4123.46,4113.32,4113.63,3260,4156.900252441855,0
1782195000,4113.58,4124.82,4111.27,4122.63,3358,4156.364803431144,0
1782195300,4122.64,4126.84,4121.41,4122.64,3077,4155.9401045250615,0
1782195600,4122.63,4125.49,4117.55,4122.49,2693,4155.557288624105,0
1782195900,4122.5,4122.64,4114.55,4116.56,3118,4155.074269683113,0
1782196200,4116.58,4121.1,4114.92,4119.87,3192,4154.601711547392,0
1782196500,4119.87,4119.88,4113.62,4116.13,3063,4154.133987190083,0
1782196800,4116.12,4117.34,4110.86,4113.46,2995,4153.656085263788,0
1782197100,4113.5,4117.93,4110.4,4115.53,3081,4153.185010183698,0
1782197400,4115.54,4118.94,4115.48,4118.31,2829,4152.794770801777,0
1782197700,4118.31,4120.35,4113.9,4114.38,2985,4152.376557459291,0
1782198000,4114.34,4119.76,4110.27,4119.76,3253,4151.936307419581,0
1782198300,4119.76,4124.83,4118.68,4121.37,2904,4151.60699408737,0
1782198600,4121.4,4121.4,4112.19,4115.77,2882,4151.2319877012515,0
1782198900,4115.76,4117.86,4113.74,4117.79,2765,4150.8797507401205,0
1782199200,4117.79,4122.94,4117.34,4119.38,2668,4150.579711739888,0
1782199500,4119.38,4120.21,4117.94,4118.19,2516,4150.2920288109335,0
1782199800,4118.19,4119.43,4115.19,4119.21,2987,4149.948286736462,0
1782200100,4119.23,4119.23,4110.87,4111.5,3049,4149.561119275869,0
1782200400,4111.5,4113.47,4103.91,4104.97,3172,4149.096214395098,0
1782200700,4104.98,4108.17,4104.29,4106.53,2913,4148.666980012609,0
1782201000,4106.54,4106.6,4098.5,4100.68,3046,4148.181534431945,0
1782201300,4100.68,4101.1,4096.72,4098.83,2918,4147.695870664906,0
1782201600,4098.82,4100.12,4091.51,4092.39,3469,4147.082070026851,0
1782201900,4092.42,4096.15,4090.9,4094.27,3160,4146.525791477613,0
1782202200,4094.28,4096.17,4091.95,4094.04,2970,4146.016160217922,0
1782202500,4094.04,4099.94,4092.45,4098.25,2983,4145.541473902045,0
1782202800,4098.32,4100,4096.22,4097.09,2863,4145.102605810513,0
1782203100,4097.19,4098.64,4094.87,4098.28,2967,4144.651445413195,0
1782203400,4098.28,4102.38,4096.85,4101.8,2982,4144.235417281975,0
1782203700,4101.8,4105.37,4100.63,4102.39,2924,4143.857379103421,0
1782204000,4102.4,4111.01,4102.25,4109.6,2785,4143.545219806165,0
1782204300,4109.58,4109.74,4101.91,4104.36,2812,4143.215754924688,0
1782204600,4104.33,4108.71,4102.55,4107.77,2520,4142.933011605686,0
1782204900,4107.77,4107.77,4102.67,4105.32,2551,4142.642776722637,0
1782205200,4105.31,4110.58,4104.04,4110.12,2711,4142.363502898125,0
1782205500,4110.11,4112.67,4108.91,4109.93,2645,4142.113100571801,0
1782205800,4109.93,4113.68,4109.32,4111.16,2332,4141.901651247819,0
1782206100,4111.16,4112.7,4109,4111.2,2397,4141.684369937995,0
1782206400,4111.29,4117.03,4111.27,4116.07,2477,4141.490571179216,0
1782206700,4116.08,4116.9,4111.99,4112.74,2584,4141.284540701663,0
1782207000,4112.74,4116.77,4112.28,4116.77,2505,4141.097752503099,0
1782207300,4116.78,4119.86,4115.37,4118.5,2483,4140.93386863336,0
1782207600,4118.52,4120.1,4116.87,4117.17,2269,4140.786998957348,0
1782207900,4117.17,4118.6,4116.42,4117.55,2224,4140.641588788023,0
1782208200,4117.55,4118.33,4115.51,4115.69,2067,4140.502211309099,0
1782208500,4115.7,4122.32,4115.42,4122.32,2215,4140.376221012038,0
1782208800,4122.32,4133.35,4122.32,4131.73,2804,4140.289350236247,0
1782209100,4131.73,4132.55,4127.01,4127.03,2425,4140.213504361004,0
1782209400,4127.02,4130.02,4126.99,4129.95,2197,4140.146391015768,0
1782209700,4129.92,4133.14,4128.71,4132.61,2267,4140.093301801497,0
1782210000,4132.56,4132.56,4127.92,4127.98,2420,4140.024339651535,0
1782210300,4127.98,4131.73,4126.8,4130.34,2262,4139.9615114816515,0
1782210600,4130.34,4132.22,4129.33,4130.6,2419,4139.90217449485,0
1782210900,4130.58,4131.69,4126.97,4128.87,2466,4139.832452700042,0
1782211200,4128.86,4130.19,4124.47,4126.59,2624,4139.7448720949305,0
1782211500,4126.58,4126.84,4123.59,4124.38,2604,4139.644605396362,0
1782211800,4124.38,4125.42,4121.97,4122.16,2646,4139.532121921909,0
1782212100,4122.16,4123.07,4119.69,4119.8,2559,4139.409492728897,0
1782212400,4119.78,4121.47,4117.49,4119.06,2932,4139.259655180023,0
1782212700,4119.03,4126.73,4118.53,4125.74,2804,4139.149110506563,0
1782213000,4125.68,4129.75,4125.06,4129.17,2328,4139.083832852832,0
1782213300,4129.22,4129.22,4125.43,4128.42,2426,4139.0147767326625,0
1782213600,4128.41,4132.02,4124.46,4129.47,2848,4138.941551230435,0
1782213900,4129.46,4129.97,4125.29,4127.33,2569,4138.869288836522,0
1782214200,4127.33,4128.85,4123.47,4123.57,2623,4138.782098828927,0
1782214500,4123.57,4126.64,4120.41,4125.85,2813,4138.683010116882,0
1782214800,4125.85,4126.15,4118.64,4121.24,2798,4138.5703061980485,0
1782215100,4121.24,4121.79,4118.38,4121.64,2496,4138.46261360671,0
1782215400,4121.74,4123.94,4119.07,4121.98,2784,4138.3510474643335,0
1782215700,4121.97,4126.27,4119.85,4123.34,2679,4138.254540889895,0
1782216000,4123.32,4127.38,4122.44,4122.45,2864,4138.15903214212,0
1782216300,4122.41,4124.2,4119.64,4119.88,2680,4138.052949012194,0
1782216600,4119.9,4122.27,4113.07,4114.09,2797,4137.912676546745,0
1782216900,4114.08,4118.66,4111.79,4117.79,2757,4137.7736579496195,0
1782217200,4117.79,4120.08,4112.7,4117.68,3146,4137.62250953273,0
1782217500,4117.64,4118.03,4113.93,4115.11,2787,4137.483243923666,0
1782217800,4115.11,4120.53,4114.27,4115.79,2978,4137.344282784257,0
1782218100,4115.74,4122.63,4115.74,4122.08,2796,4137.236173281762,0
1782218400,4122.09,4122.09,4117.69,4117.95,2646,4137.129745329387,0
1782218700,4117.95,4118.3,4113.24,4118.23,2642,4137.00914830651,0
1782219000,4118.23,4121.84,4116.25,4119.42,2778,4136.8996916587885,0
1782219300,4119.25,4121.4,4112.53,4113.3,2793,4136.769980675332,0
1782219600,4113.29,4114.38,4108.08,4112.09,3526,4136.576018500971,0
1782219900,4112.09,4119.4,4111.44,4116.57,3298,4136.427851727213,0
1782220200,4116.56,4117.02,4112.29,4113.51,3075,4136.281487054766,0
1782220500,4113.51,4114.07,4106.52,4107.42,3035,4136.1069288960325,0
1782220800,4107.44,4116.7,4105.42,4116.58,3264,4135.946361015544,0
1782221100,4116.58,4119.34,4114.21,4115.96,3180,4135.816175054271,0
1782221400,4115.92,4123.31,4110.2,4122.55,4022,4135.672329085838,0
