sos_utc,year,hour_ny,session,dir,bars_alive,stage_max,reached_zone,edge_ever,veto_ever,armed_ever,traded,verdict,edge_price
2025-09-30T09:00:00,2025,05,London,short,86,4,True,True,True,True,True,traded,3855.76
2025-10-01T07:45:00,2025,03,Asia,long,239,4,True,True,False,True,True,traded,3842.6
2025-10-08T22:00:00,2025,18,Late,short,73,4,True,True,False,True,False,"limit rested, never filled",4034.76
2025-10-17T17:15:00,2025,13,NewYork,short,166,4,True,True,True,True,True,traded,4293.55
2025-10-29T09:45:00,2025,05,London,long,139,4,True,True,False,True,True,traded,3929.18
2025-11-13T14:15:00,2025,09,NewYork,short,16,2,False,False,False,False,False,never retraced to 0.5,
2025-11-18T13:30:00,2025,08,London,long,58,2,False,True,False,True,False,never retraced to 0.5,4033.95
2025-11-19T16:15:00,2025,11,NewYork,short,35,4,True,True,False,True,True,traded,4109.39
2025-11-24T18:30:00,2025,13,NewYork,long,26,2,False,True,False,True,False,never retraced to 0.5,4077.13
2025-11-25T08:45:00,2025,03,Asia,short,65,4,True,False,False,False,False,no FVG in the zone,
2025-11-26T14:15:00,2025,09,NewYork,short,118,4,True,True,False,True,True,traded,4161.34
2025-11-28T00:30:00,2025,19,Late,long,45,3,True,False,True,False,False,no FVG in the zone,
2025-12-02T14:15:00,2025,09,NewYork,long,5,4,True,True,False,True,True,traded,4195.91
2025-12-03T13:45:00,2025,08,London,long,187,4,True,True,False,True,True,traded,4196.24
2025-12-09T06:00:00,2025,01,Asia,short,225,4,True,True,False,True,True,traded,4218.29
2025-12-11T16:30:00,2025,11,NewYork,long,53,2,False,False,True,False,False,never retraced to 0.5,
2025-12-12T15:15:00,2025,10,NewYork,short,370,4,True,True,False,True,True,traded,4318.16
2026-01-05T02:45:00,2026,21,Asia,long,48,2,False,True,False,True,False,never retraced to 0.5,4345.68
2026-01-07T01:00:00,2026,20,Asia,short,47,3,True,False,False,False,False,no FVG in the zone,
2026-01-08T20:15:00,2026,15,NewYork,long,64,2,False,False,False,False,False,never retraced to 0.5,
2026-01-16T15:15:00,2026,10,NewYork,short,27,3,True,False,False,False,False,no FVG in the zone,
2026-01-23T08:15:00,2026,03,Asia,short,30,4,True,False,False,False,False,no FVG in the zone,
2026-01-26T19:15:00,2026,14,NewYork,short,94,4,True,True,False,True,True,traded,5086.97
2026-01-27T20:00:00,2026,15,NewYork,long,15,2,False,True,True,True,False,never retraced to 0.5,5063.14
2026-01-29T15:15:00,2026,10,NewYork,short,64,4,True,True,True,True,True,traded,5386.62
2026-02-02T12:30:00,2026,07,London,long,42,3,True,True,False,True,False,"limit rested, never filled",4582.02
2026-02-05T02:45:00,2026,21,Asia,short,74,3,True,True,False,True,True,traded,4973.1
2026-02-06T14:45:00,2026,09,NewYork,long,94,2,False,True,True,True,False,never retraced to 0.5,4767.64
2026-02-09T23:00:00,2026,18,Late,short,137,4,True,True,False,True,True,traded,5065.48
2026-02-11T10:30:00,2026,05,London,long,113,4,True,True,False,True,True,traded,5034.17
2026-02-12T16:00:00,2026,11,NewYork,short,223,4,True,True,True,True,True,traded,5067.6
2026-02-24T00:45:00,2026,19,Late,short,51,2,False,False,False,False,False,never retraced to 0.5,
2026-02-25T05:15:00,2026,00,Asia,long,45,2,False,True,False,True,False,never retraced to 0.5,5145.63
2026-02-27T13:00:00,2026,08,London,long,67,2,False,True,True,True,False,never retraced to 0.5,5148.51
2026-03-02T16:00:00,2026,11,NewYork,short,64,4,True,True,False,True,True,traded,5355.81
2026-03-10T15:30:00,2026,11,NewYork,long,302,4,True,True,False,True,True,traded,5115.4
2026-04-01T11:00:00,2026,07,London,long,15,2,False,False,False,False,False,never retraced to 0.5,
2026-04-02T01:15:00,2026,21,Asia,short,265,4,True,True,True,True,True,traded,4752.77
2026-04-07T22:45:00,2026,18,Late,long,469,4,True,True,True,True,True,traded,4681.87
2026-04-30T08:00:00,2026,04,London,long,115,4,True,False,True,False,False,no FVG in the zone,
2026-05-05T14:15:00,2026,10,NewYork,long,30,2,False,False,False,False,False,never retraced to 0.5,
2026-05-07T16:00:00,2026,12,NewYork,short,21,2,False,True,False,True,False,never retraced to 0.5,4745.13
2026-05-08T01:45:00,2026,21,Asia,long,46,4,True,False,False,False,False,no FVG in the zone,
2026-05-10T22:00:00,2026,18,Late,short,94,4,True,True,False,True,True,traded,4700.39
2026-05-15T00:15:00,2026,20,Asia,short,33,2,False,True,True,True,False,never retraced to 0.5,4689.54
2026-05-19T10:30:00,2026,06,London,short,542,4,True,True,False,True,True,traded,4526.12
2026-05-28T14:30:00,2026,10,NewYork,long,58,2,False,True,True,True,False,never retraced to 0.5,4406.53
2026-06-02T04:45:00,2026,00,Asia,long,107,4,True,False,False,False,False,no FVG in the zone,
2026-06-03T08:45:00,2026,04,London,short,199,4,True,True,False,True,True,traded,4491.41
2026-06-08T11:15:00,2026,07,London,long,110,4,True,False,False,False,False,no FVG in the zone,
2026-06-09T16:00:00,2026,12,NewYork,short,23,2,False,True,True,True,False,never retraced to 0.5,4300.78
2026-06-10T13:30:00,2026,09,NewYork,long,4,4,True,False,False,False,False,no FVG in the zone,
2026-06-11T19:00:00,2026,15,NewYork,long,141,2,False,True,True,True,False,never retraced to 0.5,4101.43
2026-06-15T17:30:00,2026,13,NewYork,short,183,4,True,True,False,True,True,traded,4343.06
2026-06-17T17:30:00,2026,13,NewYork,long,1,2,False,False,False,False,False,never retraced to 0.5,
2026-06-17T19:00:00,2026,15,NewYork,short,81,4,True,True,False,True,True,traded,4308.33
2026-07-01T13:30:00,2026,09,NewYork,long,87,3,True,True,True,True,False,divergence / extreme-RSI veto,4015.07
2026-07-06T05:00:00,2026,01,Asia,short,16,2,False,False,False,False,False,never retraced to 0.5,
2026-07-06T17:45:00,2026,13,NewYork,long,39,4,True,False,False,False,False,no FVG in the zone,
2026-07-07T04:45:00,2026,00,Asia,short,28,4,True,False,False,False,False,no FVG in the zone,
2026-07-07T12:00:00,2026,08,London,long,27,4,True,False,False,False,False,no FVG in the zone,
2026-07-08T19:00:00,2026,15,NewYork,long,39,3,True,True,False,True,False,"limit rested, never filled",4053.53
2026-07-10T13:15:00,2026,09,NewYork,short,33,4,True,True,False,True,False,"limit rested, never filled",4126.74
